@relation datos

@attribute ano NUMERIC
@attribute poblacion NUMERIC

@data
1960,7952221
1961,8204218
1962,8463701
1963,8729277
1964,8999214
1965,9271978
1966,9547502
1967,9825088
1968,10101749
1969,10373793
1970,10638882
1971,10895365
