timestamp;temperature;humidity;speed
2020-12-30T13:00:00;21,623005;85;3,8268526
2020-12-30T14:00:00;21,793005;83;3,5455887
2020-12-30T15:00:00;21,963005;82;2,7416782
2020-12-30T16:00:00;21,993004;81;2,968636
2020-12-30T17:00:00;21,863005;81;2,7416782
2020-12-30T18:00:00;21,533005;83;2,0364676
2020-12-30T19:00:00;20,943005;89;2,2768397
2020-12-30T20:00:00;20,303005;93;2,6208394
2020-12-30T21:00:00;19,983006;95;3,0758414
2020-12-30T22:00:00;19,753004;96;2,0991426
2020-12-30T23:00:00;19,603004;95;1,484318
2020-12-31T00:00:00;19,283005;96;1,08
2020-12-31T01:00:00;19,123005;94;0,35999998
2020-12-31T02:00:00;18,893005;94;0,35999998
2020-12-31T03:00:00;18,833004;93;0,71999997
2020-12-31T04:00:00;18,893005;91;0,5091169
2020-12-31T05:00:00;18,843004;91;0,35999998
2020-12-31T06:00:00;18,653006;93;0
2020-12-31T07:00:00;19,343004;96;0,8049845
2020-12-31T08:00:00;20,653006;90;0
2020-12-31T09:00:00;21,593004;85;1,2979984
2020-12-31T10:00:00;23,273005;79;4,3349743
2020-12-31T11:00:00;22,863005;79;5,991594
2020-12-31T12:00:00;22,633005;79;5,506941
2020-12-31T13:00:00;22,973005;76;4,3349743
2020-12-31T14:00:00;23,193005;74;5,0528407
2020-12-31T15:00:00;23,383005;71;5,4477882
2020-12-31T16:00:00;23,513004;70;4,379589
2020-12-31T17:00:00;23,763004;70;3,0758414
2020-12-31T18:00:00;22,903006;77;3,8268526
2020-12-31T19:00:00;21,923004;82;5,1165614
2020-12-31T20:00:00;20,963005;88;4,452954
2020-12-31T21:00:00;20,793005;86;3,9763298
2020-12-31T22:00:00;20,753004;85;3,9763298
2020-12-31T23:00:00;20,453005;86;3,6
2021-01-01T00:00:00;20,093004;86;3,0758414
2021-01-01T01:00:00;19,963005;84;2,5455842
2021-01-01T02:00:00;19,873005;82;2,0991426
2021-01-01T03:00:00;19,723005;81;2,0991426
2021-01-01T04:00:00;19,623005;80;2,1897945
2021-01-01T05:00:00;19,573006;80;1,4399999
2021-01-01T06:00:00;19,423004;80;0,35999998
2021-01-01T07:00:00;20,443005;94;1,08
2021-01-01T08:00:00;20,953005;91;0,35999998
2021-01-01T09:00:00;21,433004;87;0,8049845
2021-01-01T10:00:00;21,843004;83;1,8
2021-01-01T11:00:00;23,443005;77;3,6
